建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸アパート,ルミエール代沢,京王井の頭線/池ノ上駅 歩3分,池ノ上,18.0,0.5,18.5
賃貸マンション,イプセ渋谷本町,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,15.3,1.5,16.8
賃貸マンション,イプセ渋谷本町,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,17.0,1.5,18.5
賃貸マンション,都営大江戸線 西新宿五丁目駅 14階建 新築,都営大江戸線/西新宿五丁目駅 歩5分,西新宿五丁目,15.3,1.5,16.8
賃貸マンション,京王井の頭線 下北沢駅 3階建 築3年,京王井の頭線/下北沢駅 歩11分,下北沢,16.8,0.65,17.45
賃貸マンション,京王井の頭線 高井戸駅 地下2地上3階建 築2年,京王井の頭線/高井戸駅 歩3分,高井戸,17.2,1.5,18.7
賃貸マンション,ＪＲ横須賀線 西大井駅 5階建 築3年,ＪＲ横須賀線/西大井駅 歩5分,西大井,13.6,0.6,14.2
賃貸マンション,雪が谷大塚レーベル,東急池上線/雪が谷大塚駅 歩7分,雪が谷大塚,14.8,0.9,15.700000000000001
賃貸マンション,Arc blanc（アークブラン）,ＪＲ京浜東北線/大森駅 歩10分,大森,16.0,0.8,16.8
賃貸マンション,Arc blanc（アークブラン）,ＪＲ京浜東北線/大森駅 歩10分,大森,16.4,0.8,17.2
賃貸マンション,ＪＲ中央線 中野駅 11階建 築3年,ＪＲ中央線/中野駅 歩5分,中野,23.5,1.5,25.0
賃貸マンション,ラクラス四谷,ＪＲ中央線/四ツ谷駅 歩4分,四ツ谷,19.0,1.4,20.4
賃貸マンション,都営大江戸線 森下駅 9階建 築3年,都営大江戸線/森下駅 歩3分,森下,16.8,1.0,17.8
賃貸マンション,ＪＲ中央線 荻窪駅 3階建 築4年,ＪＲ中央線/荻窪駅 歩5分,荻窪,16.0,0.4,16.4
賃貸マンション,プラウドタワー武蔵小金井クロス,ＪＲ中央線/武蔵小金井駅 歩4分,武蔵小金井,22.0,0.0,22.0
賃貸マンション,トレディパーチェ門前仲町,都営大江戸線/門前仲町駅 歩1分,門前仲町,15.0,0.5,15.5
賃貸マンション,東京メトロ東西線 門前仲町駅 10階建 築8年,東京メトロ東西線/門前仲町駅 歩1分,門前仲町,15.0,0.5,15.5
賃貸マンション,東京メトロ東西線 門前仲町駅 10階建 築8年,東京メトロ東西線/門前仲町駅 歩1分,門前仲町,15.0,0.5,15.5
賃貸マンション,ロイジェント新高島平,都営三田線/新高島平駅 歩2分,新高島平,16.7,1.0,17.7
賃貸マンション,Grande Maison 浅草合羽橋,つくばエクスプレス/浅草駅 歩5分,浅草,13.5,0.8,14.3
