都道府県,物件タイプ,部屋種別,駅,家賃,lon,lat
tokyo,マンション,3LDK/4K以上,新橋,40.0万円,139.7588392857143,35.66618485714286
tokyo,マンション,3LDK/4K以上,浜松町,41.1万円,139.75700566666669,35.655482666666664
tokyo,マンション,3LDK/4K以上,田町,38.8万円,139.747575,35.645736
tokyo,マンション,3LDK/4K以上,高輪ゲートウェイ,36.3万円,139.7407,35.6355
tokyo,マンション,3LDK/4K以上,品川,33.8万円,139.7388475,35.62868066666667
tokyo,マンション,3LDK/4K以上,大崎,36.6万円,139.728439,35.619772
tokyo,マンション,3LDK/4K以上,五反田,38.0万円,139.72405733333335,35.626112666666664
tokyo,マンション,3LDK/4K以上,目黒,35.8万円,139.71556875,35.63343475
tokyo,マンション,3LDK/4K以上,恵比寿,51.8万円,139.7098536,35.6468144
tokyo,マンション,3LDK/4K以上,渋谷,56.6万円,139.70145854545456,35.65893609090909
tokyo,マンション,3LDK/4K以上,原宿,85.3万円,139.702592,35.670646
tokyo,マンション,3LDK/4K以上,代々木,37.1万円,139.70191666666668,35.68311333333333
tokyo,マンション,3LDK/4K以上,新宿,34.7万円,139.70006215384618,35.68993538461538
tokyo,マンション,3LDK/4K以上,新大久保,28.2万円,139.700261,35.700875
tokyo,マンション,3LDK/4K以上,高田馬場,26.8万円,139.70405833333334,35.71289733333333
tokyo,マンション,3LDK/4K以上,目白,26.4万円,139.706228,35.720476
tokyo,マンション,3LDK/4K以上,池袋,26.8万円,139.7106608888889,35.730262555555555
tokyo,マンション,3LDK/4K以上,大塚,25.6万円,139.728584,35.731412
tokyo,マンション,3LDK/4K以上,巣鴨,25.0万円,139.738911,35.7334735
tokyo,マンション,3LDK/4K以上,駒込,25.0万円,139.7472475,35.736892
tokyo,マンション,3LDK/4K以上,田端,19.5万円,139.761229,35.737781
tokyo,マンション,3LDK/4K以上,西日暮里,21.3万円,139.7667705,35.73202975
tokyo,マンション,3LDK/4K以上,日暮里,23.3万円,139.771287,35.727908
tokyo,マンション,3LDK/4K以上,鶯谷,21.6万円,139.778015,35.721484
