駅名,所要時間範囲,所要時間,乗り換え回数,路線名
千歳船橋,41-50分,47分,乗換1回,小田急小田原線
祖師ヶ谷大蔵,41-50分,49分,乗換1回,小田急小田原線
戸部,41-50分,42分,乗換1回,京急本線
日ノ出町,41-50分,43分,乗換1回,京急本線
上大岡,41-50分,44分,乗換1回,京急本線
黄金町,41-50分,45分,乗換1回,京急本線
南太田,41-50分,49分,乗換1回,京急本線
高島町,41-50分,42分,乗換1回,横浜市営ブルーライン
三ッ沢下町,41-50分,42分,乗換1回,横浜市営ブルーライン
三ッ沢上町,41-50分,44分,乗換1回,横浜市営ブルーライン
伊勢佐木長者町,41-50分,46分,乗換1回,横浜市営ブルーライン
片倉町,41-50分,46分,乗換1回,横浜市営ブルーライン
阪東橋,41-50分,47分,乗換1回,横浜市営ブルーライン
岸根公園,41-50分,48分,乗換1回,横浜市営ブルーライン
吉野町,41-50分,49分,乗換1回,横浜市営ブルーライン
十条（東京都）,41-50分,42分,乗換1回,ＪＲ埼京線
北赤羽,41-50分,43分,乗換1回,ＪＲ埼京線
浮間舟渡,41-50分,45分,乗換1回,ＪＲ埼京線
戸田公園,41-50分,48分,乗換1回,ＪＲ埼京線
戸田（埼玉県）,41-50分,50分,乗換1回,ＪＲ埼京線
赤羽岩淵,41-50分,42分,乗換1回,東京メトロ南北線
船堀,41-50分,42分,乗換1回,都営新宿線
一之江,41-50分,45分,乗換1回,都営新宿線
瑞江,41-50分,47分,乗換1回,都営新宿線
篠崎,41-50分,50分,乗換1回,都営新宿線
大山（東京都）,41-50分,42分,乗換1回,東武東上線
中板橋,41-50分,46分,乗換1回,東武東上線
ときわ台（東京都）,41-50分,47分,乗換1回,東武東上線
上板橋,41-50分,49分,乗換1回,東武東上線
成増,41-50分,50分,乗換1回,東武東上線
梅島,41-50分,42分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
西新井,41-50分,43分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
東向島,41-50分,43分,乗換2回,東武伊勢崎線〔スカイツリーライン〕
堀切,41-50分,44分,乗換2回,東武伊勢崎線〔スカイツリーライン〕
鐘ヶ淵,41-50分,45分,乗換2回,東武伊勢崎線〔スカイツリーライン〕
竹ノ塚,41-50分,46分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
谷塚,41-50分,49分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
武蔵新城,41-50分,42分,乗換1回,ＪＲ南武線（川崎-立川）
津田山,41-50分,46分,乗換1回,ＪＲ南武線（川崎-立川）
久地,41-50分,48分,乗換1回,ＪＲ南武線（川崎-立川）
宿河原,41-50分,50分,乗換1回,ＪＲ南武線（川崎-立川）
保土ヶ谷,41-50分,42分,乗換1回,ＪＲ横須賀線
東戸塚,41-50分,46分,乗換1回,ＪＲ横須賀線
浦和,41-50分,43分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
さいたま新都心,41-50分,47分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
大宮（埼玉県）,41-50分,49分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
亀有,41-50分,43分,乗換1回,ＪＲ常磐線
金町（東京都）,41-50分,46分,乗換1回,ＪＲ常磐線
松戸,41-50分,48分,乗換1回,ＪＲ常磐線
菊名,41-50分,43分,乗換1回,ＪＲ横浜線
新横浜,41-50分,45分,乗換1回,ＪＲ横浜線
小机,41-50分,47分,乗換1回,ＪＲ横浜線
戸塚,41-50分,43分,乗換1回,ＪＲ東海道本線（東京-熱海）
大船,41-50分,49分,乗換1回,ＪＲ東海道本線（東京-熱海）
根岸（神奈川県）,41-50分,43分,乗換0回,ＪＲ根岸線
磯子,41-50分,46分,乗換0回,ＪＲ根岸線
新杉田,41-50分,48分,乗換0回,ＪＲ根岸線
沼袋,41-50分,43分,乗換1回,西武新宿線
鷺ノ宮,41-50分,45分,乗換1回,西武新宿線
野方,41-50分,45分,乗換1回,西武新宿線
都立家政,41-50分,46分,乗換1回,西武新宿線
上石神井,41-50分,49分,乗換1回,西武新宿線
下井草,41-50分,50分,乗換1回,西武新宿線
椎名町,41-50分,43分,乗換1回,西武池袋線
東長崎,41-50分,45分,乗換1回,西武池袋線
江古田,41-50分,49分,乗換1回,西武池袋線
浜川崎,41-50分,43分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
昭和,41-50分,45分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
扇町（神奈川県）,41-50分,47分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
平沼橋,41-50分,43分,乗換1回,相鉄本線
西横浜,41-50分,45分,乗換1回,相鉄本線
天王町,41-50分,46分,乗換1回,相鉄本線
星川（神奈川県）,41-50分,50分,乗換1回,相鉄本線
新高島,41-50分,43分,乗換1回,横浜高速鉄道みなとみらい線
みなとみらい,41-50分,44分,乗換1回,横浜高速鉄道みなとみらい線
馬車道,41-50分,46分,乗換1回,横浜高速鉄道みなとみらい線
日本大通り,41-50分,47分,乗換1回,横浜高速鉄道みなとみらい線
元町・中華街,41-50分,49分,乗換1回,横浜高速鉄道みなとみらい線
小竹向原,41-50分,44分,乗換1回,東京メトロ副都心線
中野新橋,41-50分,44分,乗換2回,東京メトロ丸ノ内線（中野坂上-方南町）
中野富士見町,41-50分,46分,乗換2回,東京メトロ丸ノ内線（中野坂上-方南町）
方南町,41-50分,48分,乗換2回,東京メトロ丸ノ内線（中野坂上-方南町）
青井,41-50分,44分,乗換1回,つくばエクスプレス
六町,41-50分,46分,乗換1回,つくばエクスプレス
八潮,41-50分,47分,乗換1回,つくばエクスプレス
三郷中央,41-50分,50分,乗換1回,つくばエクスプレス
梶が谷,41-50分,45分,乗換1回,東急田園都市線
鷺沼,41-50分,46分,乗換1回,東急田園都市線
宮崎台,41-50分,47分,乗換1回,東急田園都市線
たまプラーザ,41-50分,48分,乗換1回,東急田園都市線
あざみ野,41-50分,49分,乗換1回,東急田園都市線
宮前平,41-50分,49分,乗換1回,東急田園都市線
川崎新町,41-50分,45分,乗換2回,ＪＲ南武線（尻手-浜川崎）
小田栄,41-50分,46分,乗換2回,ＪＲ南武線（尻手-浜川崎）
反町,41-50分,45分,乗換1回,東急東横線
東白楽,41-50分,47分,乗換1回,東急東横線
白楽,41-50分,48分,乗換1回,東急東横線
綱島,41-50分,49分,乗換2回,東急東横線
妙蓮寺,41-50分,50分,乗換1回,東急東横線
落合南長崎,41-50分,45分,乗換1回,都営大江戸線（放射部）
新江古田,41-50分,47分,乗換1回,都営大江戸線（放射部）
川口元郷,41-50分,45分,乗換1回,埼玉高速鉄道線
南鳩ヶ谷,41-50分,47分,乗換1回,埼玉高速鉄道線
鳩ヶ谷,41-50分,50分,乗換1回,埼玉高速鉄道線
北綾瀬,41-50分,46分,乗換1回,東京メトロ千代田線（綾瀬-北綾瀬）
新柴又,41-50分,47分,乗換0回,京成成田空港線・北総鉄道線
矢切,41-50分,49分,乗換0回,京成成田空港線・北総鉄道線
日吉本町,41-50分,47分,乗換2回,横浜市営グリーンライン
高田（神奈川県）,41-50分,49分,乗換2回,横浜市営グリーンライン
新桜台,41-50分,48分,乗換1回,西武有楽町線
練馬,41-50分,49分,乗換1回,西武有楽町線
新芝浦,41-50分,49分,乗換1回,ＪＲ鶴見線（浅野-海芝浦）
羽沢横浜国大,41-50分,49分,乗換1回,ＪＲ相鉄直通線
井荻,51-60分,51分,乗換1回,西武新宿線
上井草,51-60分,53分,乗換1回,西武新宿線
田無,51-60分,54分,乗換1回,西武新宿線
花小金井,51-60分,57分,乗換1回,西武新宿線
武蔵関,51-60分,57分,乗換2回,西武新宿線
東伏見,51-60分,59分,乗換2回,西武新宿線
小平,51-60分,60分,乗換1回,西武新宿線
井土ヶ谷,51-60分,51分,乗換1回,京急本線
金沢文庫,51-60分,51分,乗換1回,京急本線
金沢八景（京急線）,51-60分,53分,乗換1回,京急本線
弘明寺（京急線）,51-60分,53分,乗換1回,京急本線
屏風浦,51-60分,55分,乗換2回,京急本線
杉田（神奈川県）,51-60分,56分,乗換2回,京急本線
京急富岡,51-60分,59分,乗換2回,京急本線
横須賀中央,51-60分,60分,乗換1回,京急本線
能見台,51-60分,60分,乗換2回,京急本線
海芝浦,51-60分,51分,乗換1回,ＪＲ鶴見線（浅野-海芝浦）
鴨居,51-60分,51分,乗換1回,ＪＲ横浜線
中山（神奈川県）,51-60分,54分,乗換1回,ＪＲ横浜線
十日市場（神奈川県）,51-60分,57分,乗換1回,ＪＲ横浜線
高島平,51-60分,51分,乗換1回,都営三田線
新高島平,51-60分,52分,乗換1回,都営三田線
西高島平,51-60分,54分,乗換1回,都営三田線
桜台（東京都）,51-60分,51分,乗換1回,西武池袋線
中村橋,51-60分,53分,乗換1回,西武池袋線
石神井公園,51-60分,55分,乗換1回,西武池袋線
富士見台,51-60分,55分,乗換1回,西武池袋線
練馬高野台,51-60分,57分,乗換1回,西武池袋線
ひばりヶ丘（東京都）,51-60分,60分,乗換1回,西武池袋線
大泉学園,51-60分,60分,乗換1回,西武池袋線
蒔田,51-60分,51分,乗換1回,横浜市営ブルーライン
踊場,51-60分,51分,乗換2回,横浜市営ブルーライン
弘明寺（横浜市営）,51-60分,52分,乗換1回,横浜市営ブルーライン
港南中央,51-60分,52分,乗換2回,横浜市営ブルーライン
舞岡,51-60分,52分,乗換2回,横浜市営ブルーライン
下永谷,51-60分,53分,乗換2回,横浜市営ブルーライン
中田（神奈川県）,51-60分,53分,乗換2回,横浜市営ブルーライン
北新横浜,51-60分,53分,乗換1回,横浜市営ブルーライン
上永谷,51-60分,55分,乗換2回,横浜市営ブルーライン
新羽,51-60分,55分,乗換1回,横浜市営ブルーライン
立場,51-60分,55分,乗換2回,横浜市営ブルーライン
下飯田,51-60分,57分,乗換2回,横浜市営ブルーライン
仲町台,51-60分,58分,乗換1回,横浜市営ブルーライン
中川（神奈川県）,51-60分,59分,乗換2回,横浜市営ブルーライン
湘南台,51-60分,60分,乗換2回,横浜市営ブルーライン
大川,51-60分,51分,乗換1回,ＪＲ鶴見線（安善-大川）
大倉山（神奈川県）,51-60分,51分,乗換2回,東急東横線
登戸,51-60分,51分,乗換2回,小田急小田原線
向ヶ丘遊園,51-60分,52分,乗換2回,小田急小田原線
喜多見,51-60分,53分,乗換1回,小田急小田原線
狛江,51-60分,55分,乗換1回,小田急小田原線
和泉多摩川,51-60分,57分,乗換1回,小田急小田原線
新百合ヶ丘,51-60分,58分,乗換2回,小田急小田原線
東船橋,51-60分,51分,乗換1回,ＪＲ総武本線（東京-銚子）
稲毛,51-60分,57分,乗換1回,ＪＲ総武本線（東京-銚子）
幕張本郷,51-60分,57分,乗換1回,ＪＲ総武本線（東京-銚子）
千葉,51-60分,60分,乗換1回,ＪＲ総武本線（東京-銚子）
幕張,51-60分,60分,乗換1回,ＪＲ総武本線（東京-銚子）
東武練馬,51-60分,51分,乗換1回,東武東上線
和光市,51-60分,52分,乗換1回,東武東上線
下赤塚,51-60分,53分,乗換1回,東武東上線
朝霞,51-60分,54分,乗換1回,東武東上線
朝霞台,51-60分,56分,乗換1回,東武東上線
志木,51-60分,59分,乗換1回,東武東上線
北浦和,51-60分,51分,乗換2回,ＪＲ京浜東北線
与野,51-60分,54分,乗換2回,ＪＲ京浜東北線
北国分,51-60分,51分,乗換0回,京成成田空港線・北総鉄道線
秋山,51-60分,53分,乗換0回,京成成田空港線・北総鉄道線
東松戸,51-60分,53分,乗換1回,京成成田空港線・北総鉄道線
松飛台,51-60分,57分,乗換0回,京成成田空港線・北総鉄道線
新鎌ヶ谷,51-60分,57分,乗換1回,京成成田空港線・北総鉄道線
大町（千葉県）,51-60分,59分,乗換0回,京成成田空港線・北総鉄道線
洋光台,51-60分,51分,乗換0回,ＪＲ根岸線
港南台,51-60分,54分,乗換0回,ＪＲ根岸線
本郷台,51-60分,57分,乗換0回,ＪＲ根岸線
舎人,51-60分,51分,乗換1回,都営日暮里・舎人ライナー
見沼代親水公園,51-60分,52分,乗換1回,都営日暮里・舎人ライナー
東山田,51-60分,51分,乗換2回,横浜市営グリーンライン
北山田（神奈川県）,51-60分,53分,乗換2回,横浜市営グリーンライン
センター北,51-60分,56分,乗換2回,横浜市営グリーンライン
センター南,51-60分,58分,乗換2回,横浜市営グリーンライン
地下鉄赤塚,51-60分,52分,乗換1回,東京メトロ有楽町線
地下鉄成増,51-60分,54分,乗換1回,東京メトロ有楽町線
江戸川,51-60分,52分,乗換1回,京成本線
海神,51-60分,54分,乗換2回,京成本線
鬼越,51-60分,54分,乗換2回,京成本線
国府台,51-60分,54分,乗換1回,京成本線
大神宮下,51-60分,54分,乗換2回,京成本線
市川真間,51-60分,55分,乗換1回,京成本線
菅野,51-60分,55分,乗換2回,京成本線
京成西船,51-60分,56分,乗換2回,京成本線
京成中山,51-60分,56分,乗換2回,京成本線
船橋競馬場,51-60分,56分,乗換2回,京成本線
谷津,51-60分,57分,乗換2回,京成本線
京成津田沼,51-60分,60分,乗換0回,京成本線
市川塩浜,51-60分,52分,乗換1回,ＪＲ京葉線
二俣新町,51-60分,56分,乗換1回,ＪＲ京葉線
南船橋,51-60分,59分,乗換1回,ＪＲ京葉線
仙川,51-60分,52分,乗換1回,京王線
調布,51-60分,54分,乗換1回,京王線
つつじヶ丘,51-60分,56分,乗換1回,京王線
府中（東京都）,51-60分,59分,乗換1回,京王線
柴崎,51-60分,60分,乗換1回,京王線
草加,51-60分,52分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
獨協大学前[草加松原],51-60分,55分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
新田（埼玉県）,51-60分,57分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
蒲生,51-60分,59分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
新越谷,51-60分,59分,乗換2回,東武伊勢崎線〔スカイツリーライン〕
南流山,51-60分,52分,乗換1回,つくばエクスプレス
流山おおたかの森,51-60分,55分,乗換1回,つくばエクスプレス
流山セントラルパーク,51-60分,58分,乗換1回,つくばエクスプレス
柏の葉キャンパス,51-60分,60分,乗換1回,つくばエクスプレス
豊島園〔大江戸線〕,51-60分,52分,乗換1回,都営大江戸線（放射部）
練馬春日町,51-60分,54分,乗換1回,都営大江戸線（放射部）
光が丘,51-60分,57分,乗換1回,都営大江戸線（放射部）
北戸田,51-60分,52分,乗換1回,ＪＲ埼京線
武蔵浦和,51-60分,55分,乗換1回,ＪＲ埼京線
中浦和,51-60分,57分,乗換1回,ＪＲ埼京線
南与野,51-60分,59分,乗換1回,ＪＲ埼京線
北松戸,51-60分,52分,乗換1回,ＪＲ常磐線
馬橋,51-60分,54分,乗換1回,ＪＲ常磐線
新松戸,51-60分,56分,乗換1回,ＪＲ常磐線
柏,51-60分,56分,乗換1回,ＪＲ常磐線
北小金,51-60分,58分,乗換1回,ＪＲ常磐線
和田町,51-60分,52分,乗換1回,相鉄本線
上星川,51-60分,53分,乗換1回,相鉄本線
西谷,51-60分,54分,乗換1回,相鉄本線
鶴ヶ峰,51-60分,58分,乗換1回,相鉄本線
二俣川,51-60分,58分,乗換1回,相鉄本線
新井宿,51-60分,52分,乗換1回,埼玉高速鉄道線
戸塚安行,51-60分,55分,乗換1回,埼玉高速鉄道線
東川口,51-60分,58分,乗換1回,埼玉高速鉄道線
東京ディズニーランド,51-60分,52分,乗換2回,ディズニーリゾートライン
ベイサイド,51-60分,54分,乗換2回,ディズニーリゾートライン
東京ディズニーシー,51-60分,58分,乗換2回,ディズニーリゾートライン
大師前,51-60分,53分,乗換2回,東武大師線
土呂,51-60分,53分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
東大宮,51-60分,56分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
蓮田,51-60分,60分,乗換1回,ＪＲ宇都宮線〔東北本線〕・ＪＲ上野東京ライン
東海神,51-60分,53分,乗換1回,東葉高速線
飯山満,51-60分,57分,乗換1回,東葉高速線
北習志野,51-60分,59分,乗換1回,東葉高速線
武蔵小金井,51-60分,53分,乗換1回,ＪＲ中央本線（東京-塩尻）
国分寺,51-60分,55分,乗換1回,ＪＲ中央本線（東京-塩尻）
西国分寺,51-60分,58分,乗換1回,ＪＲ中央本線（東京-塩尻）
国立,51-60分,60分,乗換1回,ＪＲ中央本線（東京-塩尻）
宮原,51-60分,54分,乗換1回,ＪＲ高崎線
上尾,51-60分,58分,乗換1回,ＪＲ高崎線
北上尾,51-60分,60分,乗換1回,ＪＲ高崎線
青葉台,51-60分,54分,乗換1回,東急田園都市線
江田（神奈川県）,51-60分,57分,乗換1回,東急田園都市線
長津田,51-60分,58分,乗換1回,東急田園都市線
市が尾,51-60分,59分,乗換1回,東急田園都市線
南町田グランベリーパーク,51-60分,60分,乗換1回,東急田園都市線
中野島,51-60分,54分,乗換1回,ＪＲ南武線（川崎-立川）
稲田堤,51-60分,56分,乗換1回,ＪＲ南武線（川崎-立川）
矢野口,51-60分,58分,乗換1回,ＪＲ南武線（川崎-立川）
稲城長沼,51-60分,60分,乗換1回,ＪＲ南武線（川崎-立川）
藤沢,51-60分,54分,乗換1回,ＪＲ東海道本線（東京-熱海）
辻堂,51-60分,58分,乗換1回,ＪＲ東海道本線（東京-熱海）
豊島園〔西武線〕,51-60分,54分,乗換1回,西武豊島線
南部市場,51-60分,55分,乗換1回,金沢シーサイドライン
鳥浜,51-60分,57分,乗換1回,金沢シーサイドライン
並木北,51-60分,58分,乗換1回,金沢シーサイドライン
野島公園,51-60分,58分,乗換2回,金沢シーサイドライン
海の公園南口,51-60分,60分,乗換2回,金沢シーサイドライン
並木中央,51-60分,60分,乗換1回,金沢シーサイドライン
新船橋,51-60分,56分,乗換2回,東武野田線〔アーバンパークライン〕
塚田,51-60分,58分,乗換2回,東武野田線〔アーバンパークライン〕
柴又,51-60分,57分,乗換1回,京成金町線
上本郷,51-60分,58分,乗換2回,新京成電鉄
松戸新田,51-60分,60分,乗換2回,新京成電鉄
船橋法典,51-60分,58分,乗換2回,ＪＲ武蔵野線（府中本町-南船橋）
東浦和,51-60分,58分,乗換1回,ＪＲ武蔵野線（府中本町-南船橋）
富士見町（神奈川県）,51-60分,58分,乗換2回,湘南モノレール
湘南町屋,51-60分,60分,乗換2回,湘南モノレール
新小金井,51-60分,59分,乗換2回,西武多摩川線
北鎌倉,51-60分,60分,乗換1回,ＪＲ横須賀線
