駅名,所要時間範囲,所要時間,乗り換え回数,路線名
潮見,31-40分,35分,乗換1回,ＪＲ京葉線
押上[スカイツリー前],31-40分,32分,乗換0回,都営浅草線
菊川（東京都）,31-40分,32分,乗換1回,都営新宿線
住吉（東京都）,31-40分,34分,乗換1回,都営新宿線
曙橋,31-40分,34分,乗換2回,都営新宿線
西大島,31-40分,36分,乗換1回,都営新宿線
大島（東京都）,31-40分,37分,乗換1回,都営新宿線
東大島,31-40分,40分,乗換1回,都営新宿線
国道,31-40分,32分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
鶴見小野,31-40分,33分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
弁天橋,31-40分,35分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
浅野,31-40分,37分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
安善,31-40分,39分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
武蔵白石,31-40分,40分,乗換1回,ＪＲ鶴見線（鶴見-扇町）
雑色,31-40分,32分,乗換1回,京急本線
鶴見市場,31-40分,32分,乗換1回,京急本線
花月総持寺,31-40分,33分,乗換1回,京急本線
八丁畷,31-40分,33分,乗換1回,京急本線
六郷土手,31-40分,33分,乗換1回,京急本線
子安,31-40分,34分,乗換1回,京急本線
生麦,31-40分,35分,乗換1回,京急本線
神奈川新町,31-40分,36分,乗換1回,京急本線
神奈川,31-40分,38分,乗換1回,京急本線
鹿島田,31-40分,32分,乗換1回,ＪＲ南武線（川崎-立川）
平間,31-40分,34分,乗換1回,ＪＲ南武線（川崎-立川）
向河原,31-40分,36分,乗換1回,ＪＲ南武線（川崎-立川）
武蔵中原,31-40分,40分,乗換1回,ＪＲ南武線（川崎-立川）
千駄木,31-40分,32分,乗換1回,東京メトロ千代田線
町屋〔千代田線〕,31-40分,33分,乗換1回,東京メトロ千代田線
中野（東京都）,31-40分,32分,乗換1回,ＪＲ中央本線（東京-塩尻）
東中野,31-40分,32分,乗換1回,ＪＲ中央本線（東京-塩尻）
高円寺,31-40分,34分,乗換1回,ＪＲ中央本線（東京-塩尻）
阿佐ヶ谷,31-40分,36分,乗換1回,ＪＲ中央本線（東京-塩尻）
荻窪,31-40分,38分,乗換1回,ＪＲ中央本線（東京-塩尻）
南千住〔日比谷線〕,31-40分,32分,乗換1回,東京メトロ日比谷線
北千住,31-40分,35分,乗換1回,東京メトロ日比谷線
北参道,31-40分,32分,乗換1回,東京メトロ副都心線
東新宿,31-40分,36分,乗換1回,東京メトロ副都心線
西早稲田,31-40分,38分,乗換1回,東京メトロ副都心線
雑司が谷,31-40分,40分,乗換1回,東京メトロ副都心線
江戸川橋,31-40分,33分,乗換1回,東京メトロ有楽町線
護国寺,31-40分,35分,乗換1回,東京メトロ有楽町線
東池袋,31-40分,37分,乗換1回,東京メトロ有楽町線
桜新町,31-40分,33分,乗換1回,東急田園都市線
用賀,31-40分,35分,乗換1回,東急田園都市線
三河島,31-40分,33分,乗換1回,ＪＲ常磐線
南千住（常磐線）,31-40分,36分,乗換1回,ＪＲ常磐線
新小岩,31-40分,33分,乗換1回,ＪＲ総武本線（東京-銚子）
小岩,31-40分,36分,乗換1回,ＪＲ総武本線（東京-銚子）
市川,31-40分,39分,乗換1回,ＪＲ総武本線（東京-銚子）
東北沢,31-40分,33分,乗換1回,小田急小田原線
南新宿,31-40分,34分,乗換1回,小田急小田原線
参宮橋,31-40分,35分,乗換1回,小田急小田原線
世田谷代田,31-40分,36分,乗換1回,小田急小田原線
代々木八幡,31-40分,37分,乗換1回,小田急小田原線
梅ヶ丘,31-40分,38分,乗換1回,小田急小田原線
豪徳寺,31-40分,39分,乗換1回,小田急小田原線
栄町（東京都）,31-40分,34分,乗換1回,都電荒川線
飛鳥山,31-40分,35分,乗換1回,都電荒川線
梶原,31-40分,36分,乗換1回,都電荒川線
滝野川一丁目,31-40分,36分,乗換1回,都電荒川線
荒川車庫前,31-40分,37分,乗換1回,都電荒川線
荒川七丁目,31-40分,38分,乗換2回,都電荒川線
西ヶ原四丁目,31-40分,38分,乗換1回,都電荒川線
町屋二丁目,31-40分,38分,乗換2回,都電荒川線
荒川一中前,31-40分,38分,乗換2回,都電荒川線
向原（東京都）,31-40分,39分,乗換1回,都電荒川線
荒川区役所前,31-40分,39分,乗換2回,都電荒川線
荒川二丁目,31-40分,39分,乗換2回,都電荒川線
荒川遊園地前,31-40分,39分,乗換1回,都電荒川線
巣鴨新田,31-40分,39分,乗換1回,都電荒川線
東尾久三丁目,31-40分,39分,乗換2回,都電荒川線
庚申塚,31-40分,40分,乗換1回,都電荒川線
京成曳舟,31-40分,34分,乗換0回,京成押上線
八広,31-40分,36分,乗換0回,京成押上線
四ツ木,31-40分,37分,乗換0回,京成押上線
青砥,31-40分,38分,乗換0回,京成押上線
京成立石,31-40分,39分,乗換0回,京成押上線
桜木町,31-40分,34分,乗換0回,ＪＲ根岸線
関内,31-40分,36分,乗換0回,ＪＲ根岸線
石川町,31-40分,38分,乗換0回,ＪＲ根岸線
山手,31-40分,40分,乗換0回,ＪＲ根岸線
新丸子,31-40分,34分,乗換1回,東急目黒線
元住吉,31-40分,37分,乗換1回,東急目黒線
日吉（神奈川県）,31-40分,39分,乗換1回,東急目黒線
西巣鴨,31-40分,34分,乗換1回,都営三田線
新板橋,31-40分,36分,乗換1回,都営三田線
板橋区役所前,31-40分,38分,乗換1回,都営三田線
板橋本町,31-40分,40分,乗換1回,都営三田線
都庁前,31-40分,34分,乗換1回,都営大江戸線（環状部）
牛込神楽坂,31-40分,34分,乗換1回,都営大江戸線（環状部）
牛込柳町,31-40分,36分,乗換1回,都営大江戸線（環状部）
若松河田,31-40分,38分,乗換1回,都営大江戸線（環状部）
浅草（つくばエクスプレス）,31-40分,35分,乗換1回,つくばエクスプレス
下落合（東京都）,31-40分,36分,乗換1回,西武新宿線
中井,31-40分,37分,乗換1回,西武新宿線
新井薬師前,31-40分,39分,乗換1回,西武新宿線
初台,31-40分,36分,乗換1回,京王新線
幡ヶ谷,31-40分,37分,乗換1回,京王新線
西新宿五丁目,31-40分,36分,乗換1回,都営大江戸線（放射部）
東大前,31-40分,36分,乗換2回,東京メトロ南北線
王子神谷,31-40分,37分,乗換1回,東京メトロ南北線
西ヶ原,31-40分,37分,乗換1回,東京メトロ南北線
本駒込,31-40分,37分,乗換1回,東京メトロ南北線
志茂,31-40分,39分,乗換1回,東京メトロ南北線
赤土小学校前,31-40分,36分,乗換1回,都営日暮里・舎人ライナー
熊野前,31-40分,37分,乗換1回,都営日暮里・舎人ライナー
足立小台,31-40分,39分,乗換1回,都営日暮里・舎人ライナー
とうきょうスカイツリー[業平橋],31-40分,37分,乗換2回,東武伊勢崎線〔スカイツリーライン〕
小菅,31-40分,37分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
五反野,31-40分,39分,乗換1回,東武伊勢崎線〔スカイツリーライン〕
笹塚,31-40分,37分,乗換1回,京王線
代田橋,31-40分,38分,乗換1回,京王線
西太子堂,31-40分,37分,乗換2回,東急世田谷線
若林（東京都）,31-40分,39分,乗換2回,東急世田谷線
亀戸水神,31-40分,38分,乗換2回,東武亀戸線
東あずま,31-40分,39分,乗換2回,東武亀戸線
北池袋,31-40分,39分,乗換1回,東武東上線
下板橋,31-40分,40分,乗換1回,東武東上線
大口,31-40分,40分,乗換1回,ＪＲ横浜線
板橋,31-40分,40分,乗換1回,ＪＲ埼京線
綾瀬,41-50分,41分,乗換1回,東京メトロ千代田線
浦安（千葉県）,41-50分,41分,乗換1回,東京メトロ東西線
南行徳,41-50分,42分,乗換1回,東京メトロ東西線
行徳,41-50分,45分,乗換1回,東京メトロ東西線
妙典,41-50分,48分,乗換1回,東京メトロ東西線
原木中山,41-50分,50分,乗換1回,東京メトロ東西線
曳舟,41-50分,41分,乗換2回,東武伊勢崎線〔スカイツリーライン〕（押上-曳舟）
葛西臨海公園,41-50分,41分,乗換1回,ＪＲ京葉線
舞浜,41-50分,44分,乗換1回,ＪＲ京葉線
新浦安,41-50分,48分,乗換1回,ＪＲ京葉線
京成高砂,41-50分,41分,乗換0回,京成本線
京成小岩,41-50分,43分,乗換0回,京成本線
京成八幡,41-50分,47分,乗換0回,京成本線
東中山,41-50分,50分,乗換0回,京成本線
高津（神奈川県）,41-50分,41分,乗換1回,東急大井町線
小村井,41-50分,41分,乗換2回,東武亀戸線
小台,41-50分,41分,乗換1回,都電荒川線
宮ノ前,41-50分,42分,乗換2回,都電荒川線
都電雑司ヶ谷,41-50分,42分,乗換2回,都電荒川線
学習院下,41-50分,44分,乗換2回,都電荒川線
面影橋,41-50分,45分,乗換2回,都電荒川線
松陰神社前,41-50分,41分,乗換2回,東急世田谷線
世田谷,41-50分,42分,乗換2回,東急世田谷線
上町,41-50分,43分,乗換2回,東急世田谷線
宮の坂,41-50分,45分,乗換2回,東急世田谷線
松原（東京都）,41-50分,45分,乗換2回,東急世田谷線
西永福,41-50分,41分,乗換1回,京王井の頭線
