駅名,所要時間範囲,所要時間,乗り換え回数,路線名,駅名_cleaned,station_name,address,lon,lat,company,line_name
赤坂見附,11-20分,20分,乗換1回,東京メトロ銀座線,赤坂見附,赤坂見附,港区赤坂３-１-６,139.737047,35.677021,東京メトロ,銀座線
芝公園,11-20分,16分,乗換1回,都営三田線,芝公園,芝公園,港区芝公園４-８-１４,139.749824,35.654074,都営,三田線
御成門,11-20分,18分,乗換1回,都営三田線,御成門,御成門,港区西新橋３-２４-６,139.751535,35.661215,都営,三田線
白金高輪,11-20分,19分,乗換1回,都営三田線,白金高輪,白金高輪,港区高輪１-３-２０,139.734104,35.642903,都営,三田線
大崎広小路,11-20分,16分,乗換1回,東急池上線,大崎広小路,大崎広小路,品川区大崎４-１-１,139.722339,35.622244,東急,池上線
荏原中延,11-20分,19分,乗換1回,東急池上線,荏原中延,荏原中延,品川区中延２-８-１,139.712196,35.610056,東急,池上線
霞ヶ関（東京都）,11-20分,19分,乗換1回,東京メトロ日比谷線,霞ヶ関,霞ヶ関,千代田区霞が関２丁目,139.750899,35.673838,東京メトロ,日比谷線
虎ノ門ヒルズ,11-20分,20分,乗換1回,東京メトロ日比谷線,虎ノ門ヒルズ,虎ノ門ヒルズ,港区虎ノ門一丁目22-12,139.747778,35.667444,東京メトロ,日比谷線
不動前,11-20分,19分,乗換1回,東急目黒線,不動前,不動前,品川区西五反田５-１２-１,139.71469,35.626526,東急,目黒線
赤羽橋,11-20分,19分,乗換1回,都営大江戸線（環状部）,赤羽橋,赤羽橋,港区東麻布１-２８-１３,139.743642,35.655007,都営,大江戸線（環状部）
築地市場,11-20分,20分,乗換1回,都営大江戸線（環状部）,築地市場,築地市場,中央区築地５-１-２,139.766915,35.664895,都営,大江戸線（環状部）
白金台,11-20分,19分,乗換1回,東京メトロ南北線,白金台,白金台,港区白金台３-２,139.726133,35.637917,東京メトロ,南北線
品川シーサイド,11-20分,19分,乗換1回,りんかい線,品川シーサイド,品川シーサイド,品川区東品川４-１２-２２,139.749549,35.608524,不明,りんかい線
竹芝,11-20分,20分,乗換1回,ゆりかもめ,竹芝,竹芝,港区海岸１-１３-１０,139.762037,35.654099,不明,ゆりかもめ
天王洲アイル（モノレール）,11-20分,20分,乗換1回,東京モノレール,天王洲アイル,天王洲アイル,品川区東品川２-５-１９,139.750675,35.622908,不明,東京モノレール
旗の台,21-30分,21分,乗換1回,東急池上線,旗の台,旗の台,品川区旗の台２-１３-１,139.702286,35.604923,東急,池上線
長原（東京都）,21-30分,22分,乗換1回,東急池上線,長原,長原,大田区上池台１-１０-１０,139.697881,35.60219,東急,池上線
洗足池,21-30分,24分,乗換1回,東急池上線,洗足池,洗足池,大田区東雪谷１-１-６,139.690896,35.599648,東急,池上線
蓮沼,21-30分,24分,乗換1回,東急池上線,蓮沼,蓮沼,大田区西蒲田７-１７-１,139.708544,35.564173,東急,池上線
石川台,21-30分,25分,乗換1回,東急池上線,石川台,石川台,大田区東雪谷２-２３-１,139.685063,35.596888,東急,池上線
池上,21-30分,26分,乗換1回,東急池上線,池上,池上,大田区池上６-３-１０,139.702822,35.572025,東急,池上線
雪が谷大塚,21-30分,27分,乗換1回,東急池上線,雪が谷大塚,雪が谷大塚,大田区南雪谷２-２-１６,139.681083,35.592038,東急,池上線
御嶽山,21-30分,28分,乗換1回,東急池上線,御嶽山,御嶽山,大田区北嶺町３２-１７,139.682473,35.585236,東急,池上線
千鳥町,21-30分,28分,乗換1回,東急池上線,千鳥町,千鳥町,大田区千鳥１-２０-１,139.69142,35.572983,東急,池上線
久が原,21-30分,29分,乗換1回,東急池上線,久が原,久が原,大田区南久が原２-６-１０,139.685678,35.579499,東急,池上線
銀座一丁目,21-30分,21分,乗換1回,東京メトロ有楽町線,銀座一丁目,銀座一丁目,東京都中央区銀座一丁目7-12,139.767045,35.67435,東京メトロ,有楽町線
桜田門,21-30分,22分,乗換1回,東京メトロ有楽町線,桜田門,桜田門,東京都千代田区霞が関二丁目1-1,139.75149,35.677405,東京メトロ,有楽町線
新富町（東京都）,21-30分,23分,乗換1回,東京メトロ有楽町線,新富町,新富町,東京都中央区築地一丁目1-1,139.773711,35.670462,東京メトロ,有楽町線
麹町,21-30分,26分,乗換1回,東京メトロ有楽町線,麹町,麹町,東京都千代田区麹町三丁目2,139.737613,35.684006,東京メトロ,有楽町線
豊洲,21-30分,27分,乗換1回,東京メトロ有楽町線,豊洲,豊洲,東京都江東区豊洲四丁目1-1,139.79621,35.654908,東京メトロ,有楽町線
市ヶ谷,21-30分,28分,乗換1回,東京メトロ有楽町線,市ヶ谷,市ヶ谷,東京都新宿区市谷田町一丁目1,139.735583,35.691,東京メトロ,有楽町線
辰巳,21-30分,29分,乗換1回,東京メトロ有楽町線,辰巳,辰巳,東京都江東区辰巳一丁目1-44,139.81052,35.645576,東京メトロ,有楽町線
御茶ノ水,21-30分,21分,乗換1回,ＪＲ中央本線（東京-塩尻）,御茶ノ水,御茶ノ水,千代田区神田駿河台２丁目,139.764955,35.699605,ＪＲ,中央本線（東京-塩尻）
水道橋,21-30分,24分,乗換1回,ＪＲ中央本線（東京-塩尻）,水道橋,水道橋,千代田区三崎町２丁目,139.754312,35.702039,ＪＲ,中央本線（東京-塩尻）
四ツ谷,21-30分,26分,乗換1回,ＪＲ中央本線（東京-塩尻）,四ツ谷,四ツ谷,東京都新宿区四谷一丁目,139.730644,35.686041,ＪＲ,中央本線（東京-塩尻）
飯田橋,21-30分,26分,乗換1回,ＪＲ中央本線（東京-塩尻）,飯田橋,飯田橋,東京都千代田区飯田橋四丁目10-2,139.745143,35.701835,ＪＲ,中央本線（東京-塩尻）
千駄ヶ谷,21-30分,28分,乗換1回,ＪＲ中央本線（東京-塩尻）,千駄ヶ谷,千駄ヶ谷,東京都渋谷区千駄ヶ谷一丁目35-10,139.711644,35.681231,ＪＲ,中央本線（東京-塩尻）
信濃町,21-30分,30分,乗換1回,ＪＲ中央本線（東京-塩尻）,信濃町,信濃町,新宿区信濃町,139.720729,35.680031,ＪＲ,中央本線（東京-塩尻）
大久保（東京都）,21-30分,30分,乗換1回,ＪＲ中央本線（東京-塩尻）,大久保,大久保,新宿区百人町１丁目,139.69732,35.700784,ＪＲ,中央本線（東京-塩尻）
西大井,21-30分,21分,乗換1回,ＪＲ横須賀線,西大井,西大井,品川区西大井１丁目,139.721729,35.601616,ＪＲ,横須賀線
武蔵小杉,21-30分,26分,乗換1回,ＪＲ横須賀線,武蔵小杉,武蔵小杉,川崎市中原区小杉町三丁目492,139.65963,35.57669,ＪＲ,横須賀線
新川崎,21-30分,29分,乗換1回,ＪＲ横須賀線,新川崎,新川崎,川崎市幸区鹿島田,139.671481,35.551784,ＪＲ,横須賀線
西馬込,21-30分,21分,乗換0回,都営浅草線,西馬込,西馬込,大田区西馬込２-１-６,139.705942,35.586859,都営,浅草線
人形町,21-30分,22分,乗換0回,都営浅草線,人形町,人形町,中央区日本橋人形町２-６-５,139.782285,35.686307,都営,浅草線
東日本橋,21-30分,24分,乗換0回,都営浅草線,東日本橋,東日本橋,中央区東日本橋３-１１-８,139.784821,35.692126,都営,浅草線
蔵前,21-30分,27分,乗換0回,都営浅草線,蔵前,蔵前,台東区蔵前２-３-１,139.790931,35.703236,都営,浅草線
